Plant code;Latijnse naam;Nederlandse naam;Oorsprong;Familie;Groep;Bloemkleur;Bloemkleurdetail;Bladkleur;Bloeimaand;Hoogte;Hoogtedetail;Habitat - licht;Habitat - grondsoort;Habitat - pH;Habitat - vochtigheid;Bijenvriendelijkheid;Bijenvriendelijkheidsdetail;Referenties;Foto's;Cultivars
PL0014;Acer sempervirens;Esdoorn;uitheems;Sapindaceae;Bomen;geel,groen;geelgroene bloemen;hard leerachtig blad;;>200cm;tot 10 m;;;;;pollenleverancier;101-150 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0015;Acer palmatum;Japanse esdoorn;uitheems;Sapindaceae;Heesters;paars,rood;paarsrood;prachtige herfstkleuren gaande van geel, oranje naar rood;4,5;>200cm;tot 6 m;zon,halfschaduw;zand,klei,leem;zuur,neutraal;gemiddeld,vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Acer palmatum 'Atropurpureum',Acer palmatum 'Beni-komachi',Acer palmatum 'Beni-maiko',Acer palmatum 'Beni-shichi-henge',Acer palmatum 'Bloodgood',Acer palmatum 'Butterfly',Acer palmatum 'Crimson Queen',Acer palmatum 'Dissectum',Acer palmatum 'Emerald Lace',Acer palmatum 'Firecracker' (r),Acer palmatum 'Fireglow',Acer palmatum 'Garnet',Acer palmatum 'Jerre Schwartz',Acer palmatum 'Katsura',Acer palmatum 'Little Princess',Acer palmatum 'Marlo',Acer palmatum 'Orange Dream',Acer palmatum 'Osakazuki',Acer palmatum 'Redwine',Acer palmatum 'Sangokaku',Acer palmatum 'Seiryu',Acer palmatum 'Shaina',Acer palmatum 'Sumi-nagashi',Acer palmatum 'Taylor',Acer palmatum 'Wilson's Pink Dwarf'
PL0016;Acer pensylvanicum;Streepjesbastesdoorn;uitheems;Sapindaceae;Bomen;geel;groengeel;lichtgroene grote bladeren, warmgele herfstkleur;4,5;>200cm;6 - 10 m;zon,halfschaduw;;neutraal;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Acer pensylvanicum 'Erythrocladum'
PL0017;Acer platanoides;Noorse esdoorn;uitheems;Sapindaceae;Bomen;geel,groen;;heldergroen blad;4,5;>200cm;tot 15 m;halfschaduw;zand,leem;zuur,neutraal;gemiddeld;nectar- en pollenleverancier;101-200 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_75586093.jpg;Acer platanoides ?Cleveland?,Acer platanoides ?Olmsted?,Acer platanoides ?Reitenbachii?,Acer platanoides 'Cleveland',Acer platanoides 'Crimson King',Acer platanoides 'Crimson Sentry',Acer platanoides 'Drummondii',Acer platanoides 'Globosum',Acer platanoides 'Royal Red'
PL0018;Acer pseudoplatanus;Gewone esdoorn;inheems;Sapindaceae;Bomen;groen;lichtgroen;geeloranje herfstkleur;4,5,6;>200cm;tot 18 m;halfschaduw;leem,zand;kalk;gemiddeld;;;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;Acer pseudoplatanus 'Atropurpureum',Acer pseudoplatanus 'Esk Sunset',Acer pseudoplatanus 'Leopoldii'
PL0019;Acer rubrum;Rode esdoorn;uitheems;Sapindaceae;Bomen;rood;;blauwgroen blad;3,4;>200cm;tot 12 m;schaduw;leem;neutraal, kalk;gemiddel,vochthoudend;nectar- en pollenleverancier;26-50 kg/ha nectar en 1-25 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;Acer rubrum 'Candy Ice',Acer rubrum 'Fairview Flame',Acer rubrum 'Karpick',Acer rubrum 'October Glory',Acer rubrum 'Red King',Acer rubrum 'Red Sunset',Acer rubrum 'Scanlon'
PL0020;Acer saccharinum;Witte esdoorn;uitheems;Sapindaceae;Bomen;geel;;diepingesneden lichtgroen blad, onderzijde blauwwit;3,4;>200cm;tot 40 m;halfschaduw;zand;kalk;gemiddeld,vochthoudend;pollenleverancier;26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0021;Acer saccharum;Suikeresdoorn;uitheems;Sapindaceae;Bomen;geel;;;4,5;>200cm;tot 25 m;;leem;;gemiddeld;pollenleverancier;51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0022;Acer shirasawanum;Esdoorn;uitheems;Sapindaceae;Heesters;rood,roze;;geelgroen blad;5;101-200cm;tot 1,5 m;halfschaduw,schaduw;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Acer shirasawanum 'Aureum'
PL0023;Acer tataricum;Esdoorn;uitheems;Sapindaceae;Bomen;wit;groenwitte bloempjes;geel tot felrode herfstkleur;4;>200cm;tot 6 m;zon,halfschaduw;zand,klei,leem;neutraal;gemiddeld,vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Acer tataricum 'GarAnn',Acer tataricum subsp. Ginnala
PL0024;Achillea filipendulina;Duizendblad;uitheems;Asteraceae;Vaste planten;geel;;;7,8,9;;;;;;vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;Achillea filipendulina 'Credo',Achillea filipendulina 'Parker's Variety',Achillea filipendulina'Coronation Gold'
PL0025;Achillea millefolium;Gewoon duizendblad;inheems;Asteraceae;Vaste planten;wit;;;6,7,8,9;51-100cm;70 - 100 cm;zon;;neutraal;droog;;;Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;Achillea millefolium 'ApfelblÅte',Achillea millefolium 'Lachsschînheit',Achillea millefolium 'Paprika',Achillea millefolium 'Pretty Belinda',Achillea millefolium 'Red Velvet',Achillea millefolium 'Terracotta',Achillea millefolium 'Wesersandstein'
PL0026;Aconitum napellus;Monnikskap;inheems;Ranunculaceae;Vaste planten;blauw;violetblauwe bloemen;;6,7,8,9;51-100cm;100 cm;zon,halfschaduw,schaduw;;neutraal;gemiddeld,vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Aconitum napellus 'Album',Aconitum napellus 'Rubellum'
PL0027;Adenostoma fasciculatum;;uitheems;Rosaceae;Heesters;wit;;olie-achtige glanzende bladeren;2,3,4,5,6,7;51-100cm,101-200cm,>200cm;60 - 300 cm;;;;droog;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0028;Adonis annua;Herfstadonis;uitheems;Ranunculaceae;Vaste planten;rood;bloedrode bloemen;;6,7,8,9;21-50cm;30 cm;zon;;kalk;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0029;Aegopodium podograria;Zevenblad;inheems;Apiaceae;Vaste planten;wit;groenwitte bloemen;;5,6,7,8;51-100cm;60 - 90 cm;halfschaduw,schaduw;klei;;vochthoudend;nectar- en pollenleverancier;101-200 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_14206558.jpg;
PL0030;Aesculus californica;Paardenkastanje;uitheems;Sapindaceae;Bomen;wit;wit tot lichtroze bloemen;;7;>200 cm;tot 10 m;halfschaduw;;;vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0032;Aesculus hippocastanum;Witte paardenkastanje;uitheems;Sapindaceae;Bomen;wit;;geelbruine herfstkleur;5,6;>200 cm;20 tot 30 m;zon;klei,leem,zand;;gemiddeld,vochthoudend;nectar- en pollenleverancier;26-50 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_77071615.jpg;Aesculus hippocastanum 'Baumannii'
PL0033;Aesculus indica;Paardenkastanje;uitheems;Sapindaceae;Bomen;wit;pluimen met geel of roze gevlekte witte bloemen;gele herfstkleur;6,7;>200 cm;18 tot 20 m;zon;klei,leem,zand;zuur, neutraal;droog,gemiddeld;nectar- en pollenleverancier;26-50 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0034;Aesculus octandra;Paardenkastanje;uitheems;Sapindaceae;Bomen;geel;geelwitte bloemen;;4,5,6;>200cm;15 - 27 m;;leem;;gemiddeld;nectar- en pollenleverancier;26-50 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0035;Agastache foeniculum;Anijsplant,dropplant;uitheems;Lamiaceae;Vaste planten;blauw,paars;blauwpaarse bloemen;;6,7,8,9,10;51-100cm;70 - 100 cm;zon,halfschaduw;;neutraal;droog,gemiddeld;;;Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;Agastache foeniculum 'Black Adder',Agastache foeniculum 'Blue Fortune'
PL0036;Agastache rugosa;Anijsplant,dropplant;uitheems;Lamiaceae;Vaste planten;blauw,paars;violetblauwe bloemen;;6,7,8,9;51-100cm;70 - 100 cm;zon;;neutraal;droog,gemiddeld;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0037;Agrimonia eupatoria;Gewone agrimonie,leverkruid;inheems;Rosaceae;Vaste planten;geel;heldergele lange slanke bloemaren;;6,7,8,9;51-100cm;70 - 100 cm;zon,halfschaduw;;kalk;gemiddeld,vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0038;Ailanthus altissima;Hemelboom;uitheems;Simaroubaceae;Heesters,Bomen;oranje;oranje bloempluimen;;6,7;>200cm;tot 25 m;zon,halfschaduw,schaduw;klei;;droog,gemiddeld,vochthoudend;nectar- en pollenleverancier;101-200 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_5675083.jpg;
PL0039;Ajuga reptans;Zenegroen;inheems;Lamiaceae;Vaste planten;blauw,paars;dikke bloemaren;metaalglanzend blad;5,6;0-20cm;tot 20 cm;zon,halfschaduw;klei,leem;neutraal;vochthoudend;nectar- en pollenleverancier;101-200 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_54877456?jpg;Ajuga reptans 'Atropurpurea',Ajuga reptans 'Black Scallop' (r),Ajuga reptans 'Catlin's Giant',Ajuga reptans 'Symons Type'
PL0040;Alcea rosea;Stokroos;inheems;Malvaceae;Vaste planten;wit,roze,rood,paars;;;7,8,9;101-200cm,>200cm;1,5 tot 2 m;zon;;neutraal;droog,gemiddeld;nectar- en pollenleverancier;51-100 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes),California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);shutterstock_34508257.jpg;Alcea rosea 'Rosea',Alcea rosea plena 'Geel',Alcea rosea plena 'Nigra',Alcea rosea plena 'Rood',Alcea rosea plena 'Roze',Alcea rosea plena 'Wit'
PL0041;Alliaria petiolata;Look-zonder-look;inheems;Brassicaceae;Kruiden;wit;;;4,5,6;21-50cm,51-100cm;tot 1 m;halfschaduw;leem;neutraal, kalk;gemiddeld;pollenleverancier;101-150 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_52770793.jpg;
PL0042;Allium schoenoprasum;Bieslook;inheems;Alliaceae;Kruiden;roze,paars;bolvormig paarse bloemen;;5,6,7;21-50cm;30 cm;zon,halfschaduw;;kalk;droog,gemiddeld;nectar- en pollenleverancier;26-50 kg/ha nectar en 1-25 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_46409323.jpg;
PL0043;Allium ursinum;Daslook;inheems;Alliaceae;Kruiden;wit;;slechts 2 bladeren aan 1 plant;4,5;0-20cm;10 - 20 cm;zon;zand;neutraal;gemiddeld;nectar- en pollenleverancier;26-50 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_49951798.jpg;
PL0044;Alnus cordata;Italiaanse els, hartbladige els;uitheems;Betulaceae;Bomen;groen,geel;katjes;hartvormige bladeren;2,3,4;>200cm;tot 10 m;halfschaduw;zand;zuur,neutraal,kalk;droog,gemiddeld;nectar- en pollenleverancier;51-100 kg/ha nectar en 51-100 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0045;Alnus glutinosa;Zwarte els;inheems;Betulaceae;Bomen;geel,bruin;bruingeel tot roodachtige mannelijke katjes, donkerrode vrouwelijke katjes;;1,2,3;>200cm;tot 10 m;halfschaduw;leem;neutraal, kalk;gemiddeld,vochthoudend;nectarleverancier;51-100 kg/ha nectar;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);;Alnus glutinosa 'Imperialis',Alnus glutinosa 'Laciniata'
PL0046;Alnus incana;Witte els;uitheems;Betulaceae;Bomen;geel,bruin;;;2,3,4;>200cm;tot 20 m;zon;;neutraal, kalk;droog,gemiddeld;;;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;Alnus incana ?Aurea?
PL0047;Alopecurus pratensis;Grote vossenstaart;inheems;Poaceae;Grassen;groen,geel;grijsachtig groene tot purperachtige aarpluim;glad groengeel blad, naar blauw neigend;4,5,6,7,8;51-100cm,101-200cm,>200cm;tot 120 cm;zon;;kalk;vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0048;Althaea cannabina;Hennepbladstokroos;inheems;Malvaceae;Vaste planten;roze;zilverachtig lilaroze zachte kleine bloemen;;6,7,8,9,10;101-200cm;1,5 tot 2 m;zon,halfschaduw;;neutraal;droog,gemiddeld;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0049;Althaea officinalis;Heemst;inheems;Malvaceae;Vaste planten;roze,wit;;donzig behaard, lichtgrijsgroen blad;7,8,9;51-100cm,101-200cm;50 tot 150 cm;zon;;neutraal;vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0050;Alyssum saxatile,Aurinia saxatilis;Rotsschildzaad;inheems;Brassicaceae;Vaste planten;geel;;grijsviltig blad;4,5;21-50cm;20 tot 30 cm;zon;;kalk;droog;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0051;Amelanchier lamarckii;Krentenboompje;uitheems;Rosaceae;Bomen;wit;losse bloemtrossen;geelrode herfstkleur;4;>200cm;6 tot 9 m;zon,halfschaduw;zand,leem;neutraal;droog,gemiddeld;nectar- en pollenleverancier;51-100 kg/ha nectar en 1-25 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_52476295.jpg;Amelanchier lamarckii 'Ballerina'
PL0052;Amorpha fruticosa;Indigostruik;uitheems;Fabaceae;Heesters;paars;violet, donkerpaars;;7,8;>200cm;2 - 5 m;halfschaduw,schaduw;;neutraal;gemiddeld;nectar- en pollenleverancier;51-100 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0053;Anchusa officinalis ;Gewone ossetong;uitheems;Boraginaceae;Vaste planten;paars;purperviolet, lichtrood, zuiver blauw, zelden wit;;5,6,7,8,9,10;21-50cm,51-100cm;0,3 - 1 m;zon;zand;;gemiddeld;nectarleverancier;51-100 kg/ha nectar;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0054;Anemone hupehensis;Herfstanemoon;uitheems;Ranunculaceae;Vaste planten;roze;;;8,9,10;21-50cm,51-100cm;50 cm;zon,halfschaduw;;neutraal;gemiddeld,vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;Anemone hupehensis 'Crispa',Anemone hupehensis 'Little Princess',Anemone hupehensis 'Praecox',Anemone hupehensis 'Praecox',Anemone hupehensis 'Prinz Heinrich',Anemone hupehensis 'September Charm',Anemone hupehensis 'Splendens'
PL0055;Anemone nemorosa;Bosanemoon;inheems;Ranunculaceae;Vaste planten;wit,roze;;;3,4,5;0-20cm;5 - 25 cm;zon,halfschaduw;zand,leem,klei,veen;neutraal, kalk;gemiddeld,vochthoudend;nectar- en pollenleverancier;26-50 kg/ha nectar en 51-100 kg/ha pollen;Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_60295099.jpg;
PL0056;Anemone pulsatilla;Wildemanskruid;uitheems;Ranunculaceae;Vaste planten;paars;paarsrood;;3,4,5;0-20cm,21-50cm;0,1  -0,4 m;zon,halfschaduw;leem;kalk;gemiddeld;nectar- en pollenleverancier;51-100 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0057;Anethum graveolens;Dille;uitheems;Apiaceae;Kruiden;geel;gele bloemschermen;fijn gevederde bladeren;6,7,8,9;21-50cm,51-100cm;0,2 - 0,7 m;zon;zand;neutraal;vochthoudend;pollenleverancier;26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_72179569.jpg;
PL0058;Angelica archangelica;Grote engelwortel;uitheems;Apiaceae;Vaste planten;geel,groen;bleekgroen;grote groen geveerde bladeren;6,7,8;51-100cm,101-200cm;0,8-2 m;zon,halfschaduw;;;gemiddeld,vochthoudend;nectar- en pollenleverancier;201-500 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_56967427.jpg;
PL0059;Angelica sylvestris;Gewone engelwortel;inheems;Apiaceae;Vaste planten;wit;rozewitte bloemschermen;;7,8,9,10;51-100cm,101-200cm;0,75-2 m;zon,halfschaduw;leem,klei;zuur,neutraal;gemiddeld,vochthoudend;nectar- en pollenleverancier;101-200 kg/ha nectar en 101-150 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0060;Anthericum liliago;Grote graslelie;inheems;Asparagaceae;Vaste planten;wit;lelie-achtige bloemen;grasfijne bladeren;5,6,7,8;21-50cm,51-100cm;40 - 100 cm;zon;;neutraal;gemiddeld;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0061;Anthericum ramosum;Vertakte graslelie;inheems;Asparagaceae;Vaste planten;wit;witte pluimvorige bloeiwijze;grasfijne bladeren;5,6,7,8;21-50cm,51-100cm;30 - 70 cm;zon;;kalk;droog,gemiddeld;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0062;Anthriscus cerefolium;Echte kervel;uitheems;Apiaceae;Kruiden;geel,groen,wit;geelgroen;glanzende fijn behaarde bladen;5,6,7;21-50cm;0,2 - 0,4 m;zon;zand,leem;kalk;vochthoudend;nectar- en pollenleverancier;101-200 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_81385990.jpg;
PL0063;Anthyllis vulneraria;Wondklaver;inheems;Fabaceae;Vaste planten;geel;;;;51-100cm;50 - 70 cm;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0064;Antirrhinum majus;Leeuwebek;uitheems;Scrophulariaceae;Vaste planten;geel,paars,oranje,rood,roze,wit;bloemen in vorm van leeuwenmuil;;5,6,7,8,9;21-50cm,51-100cm;20 - 100 cm;zon,halfschaduw,schaduw;;kalk;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0065;Apium graveolens;Selderij;inheems;Apiaceae;Vaste planten;wit;;;6,7,8,9;21-50cm,51-100cm;30 - 90 cm;zon,halfschaduw;;;droog,vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0066;Aquilegia vulgaris;Wilde akelei;inheems;Ranunculaceae;Vaste planten;paars,blauw;blauwviolet;blauwachtig groene gelobde bladeren;5,6,7;21-50cm,51-100cm;0,3 - 0,8 m;zon,halfschaduw;;;gemiddeld;nectar- en pollenleverancier;51-100 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier),Plants for bees (W.D.J.Kirk, F.N.Howes);shutterstock_1791664.jpg,shutterstock_80116915.jpg;Aquilegia vulgaris 'Black Barlow'
PL0067;Arabis caucasica;Randjesbloem,rijstebrij;uitheems;Brassicaceae;Vaste planten;wit;;zacht behaarde blaadjes;4,5,6,7;0-20cm;10 tot 20 cm;zon,halfschaduw;;kalk;gemiddeld;nectar- en pollenleverancier;101-200 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);shutterstock_29346424.jpg;Arabis caucasica 'Bakkely',Arabis caucasica 'Compacta Snowcap'
PL0068;Aralia elata;Duivelswandelstok;uitheems;Araliaceae;Heesters;wit;crämewit;;8,9;>200cm;350 cm;zon,halfschaduw;leem;;gemiddeld;nectar- en pollenleverancier;101-200 kg/ha nectar en 26-50 kg/ha pollen;Bijenplantengids (F.J.Jacobs, K.Beeuwsaert, B.Rotthier);;
PL0069;Arbutus menziesii;Madrona;uitheems;Ericaceae;Bomen;wit;kleine klokvormige bloemen;dik glanzende bladeren, bovenzijde donkergroen, onderzijde lichtgrijs;4,5;>200cm;10 tot 25 m;;;;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0070;Arbutus unedo;Aardbeiboom;uitheems;Ericaceae;Bomen;wit;kleine klokvormige bloemen;donkergroene bladeren;10,11,12;101-200cm,>200cm;120 cm tot 4 m;zon;;neutraal;;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0071;Arctium lappa;Grote klit;inheems;Asteraceae;Vaste planten;paars;lijken op distelbloemen;blauwgroen blad;7,8,9;101-200cm;1,5 m tot 2 m;zon,halfschaduw;;;gemiddeld,vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
PL0072;Arctostaphylos densiflori;;uitheems;Ericaceae;Heesters;roze;licht tot helder roze bloemen;;;101-200cm,>200cm;1,2 tot 4 m;;;;;;;California bees and blooms (G.W.Frankie, R.W.Thorp, R.E.Coville, B.Ertter);;
PL0073;Arctostaphylos uva-ursi;Berendruif;uitheems;Ericaceae;Heesters;wit;;;3,4,5,6;21-50cm;40 - 50 cm;zon,halfschaduw;;zuur,neutraal;droog,gemiddeld,vochthoudend;;;Plants for bees (W.D.J.Kirk, F.N.Howes);;
